Program start: 1707270566.467553
1707270577.977585 1707270577.9773471 90 
1707270577.986074 1707270577.985894 89 
1707270578.033732 1707270578.033477 89 
1707270578.062934 1707270578.062727 89 
1707270578.079525 1707270578.079375 89 
1707270578.097742 1707270578.097546 89 
1707270578.116160 1707270578.115998 89 
1707270578.224956 1707270578.224479 89 
1707270578.296883 1707270578.2965062 90 
1707270578.302021 1707270578.301748 89 
1707270578.319320 1707270578.319125 89 
1707270578.359544 1707270578.35933 88 
1707270578.387182 1707270578.386959 89 
1707270578.397318 1707270578.3971782 90 
1707270578.484741 1707270578.484556 89 
1707270578.597271 1707270578.597067 89 
1707270578.619948 1707270578.6197839 90 
1707270578.663876 1707270578.663729 89 
1707270578.847561 1707270578.8471081 90 
1707270579.006861 1707270579.006551 89 
1707270579.214168 1707270579.213632 89 
1707270579.294996 1707270579.2944682 90 
1707270579.358140 1707270579.357648 89 
1707270579.386458 1707270579.386143 89 
1707270579.483245 1707270579.482892 89 
1707270579.507810 1707270579.507595 89 
1707270579.509221 1707270579.509092 89 
1707270579.578008 1707270579.577547 89 
1707270579.604736 1707270579.6044428 90 
1707270579.622835 1707270579.6226702 90 
1707270579.670780 1707270579.6705348 90 
1707270579.713007 1707270579.712818 89 
1707270579.780820 1707270579.78041 88 
1707270580.007924 1707270580.007427 89 
1707270580.032064 1707270580.031821 89 
1707270580.037343 1707270580.037167 89 
1707270580.162318 1707270580.1618419 90 
1707270580.208741 1707270580.208412 89 
1707270580.243222 1707270580.242971 89 
1707270580.264897 1707270580.264725 89 
1707270580.304848 1707270580.304667 89 
1707270580.574320 1707270580.573874 89 
1707270580.600621 1707270580.600415 89 
1707270580.634858 1707270580.6346638 90 
1707270580.786145 1707270580.78589 88 
1707270580.806401 1707270580.806232 89 
1707270580.820393 1707270580.820221 89 
1707270580.931212 1707270580.930775 89 
1707270580.947977 1707270580.9476979 90 
1707270581.018861 1707270581.018442 89 
1707270581.090424 1707270581.089973 89 
1707270581.118451 1707270581.1179898 90 
1707270581.186151 1707270581.185606 89 
1707270581.226163 1707270581.225748 89 
1707270581.309106 1707270581.3086221 90 
1707270581.309101 1707270581.308717 89 
1707270581.345988 1707270581.345691 89 
1707270581.360586 1707270581.360322 89 
1707270581.411079 1707270581.410753 89 
1707270581.443140 1707270581.4429362 90 
1707270581.567905 1707270581.567553 89 
1707270581.756780 1707270581.7565188 90 
1707270581.807455 1707270581.807111 89 
1707270581.975610 1707270581.9750972 90 
1707270582.065939 1707270582.0654862 90 
1707270582.065990 1707270582.065485 89 
1707270582.067510 1707270582.067242 89 
1707270582.269517 1707270582.268957 89 
1707270582.359999 1707270582.35954 88 
1707270582.392139 1707270582.391656 89 
1707270582.395107 1707270582.394855 89 
1707270582.463091 1707270582.4626718 90 
1707270582.507703 1707270582.507359 89 
1707270582.579113 1707270582.57859 88 
1707270582.631282 1707270582.6308322 90 
1707270582.648616 1707270582.648393 89 
1707270582.665493 1707270582.66534 88 
1707270582.694265 1707270582.6940439 90 
1707270582.775377 1707270582.774961 89 
1707270582.789925 1707270582.789527 89 
1707270583.212863 1707270583.212306 89 
1707270583.362995 1707270583.362497 89 
1707270583.390680 1707270583.390263 89 
1707270583.478664 1707270583.4781172 90 
1707270583.503313 1707270583.502975 89 
1707270583.540685 1707270583.5404758 90 
1707270583.674472 1707270583.674138 89 
1707270583.725826 1707270583.725396 89 
1707270583.768180 1707270583.767797 89 
1707270583.773810 1707270583.7735412 90 
1707270583.982813 1707270583.982395 89 
1707270584.039605 1707270584.039417 89 
1707270584.158250 1707270584.157838 89 
1707270584.173964 1707270584.173707 89 
1707270584.233545 1707270584.233164 89 
1707270584.308843 1707270584.3083708 90 
1707270584.363614 1707270584.36309 88 
1707270584.402728 1707270584.402297 89 
1707270584.421912 1707270584.421591 89 
1707270584.467865 1707270584.467478 89 
1707270584.483822 1707270584.483522 89 
1707270584.568983 1707270584.568634 89 
1707270584.611992 1707270584.611579 89 
1707270584.667307 1707270584.666772 89 
1707270584.692441 1707270584.692097 89 
1707270584.711009 1707270584.7107909 90 
1707270584.805494 1707270584.805172 89 
1707270584.843646 1707270584.843436 89 
1707270584.914257 1707270584.913842 89 
1707270584.926100 1707270584.925914 89 
1707270585.018845 1707270585.0184178 90 
1707270585.409944 1707270585.409492 89 
1707270585.603736 1707270585.6031559 90 
1707270585.766922 1707270585.766461 89 
1707270586.032195 1707270586.0317461 90 
1707270586.092796 1707270586.092457 89 
1707270586.338111 1707270586.337566 89 
1707270586.506100 1707270586.5056791 90 
1707270586.559981 1707270586.55969 88 
1707270586.597381 1707270586.5971892 90 
1707270586.676883 1707270586.676589 89 
1707270586.867927 1707270586.867531 89 
1707270587.070222 1707270587.0697331 90 
1707270587.206172 1707270587.205827 89 
1707270587.235396 1707270587.2350929 90 
1707270587.294998 1707270587.294621 89 
1707270587.391529 1707270587.3910642 90 
1707270587.566693 1707270587.5662239 90 
1707270587.609344 1707270587.608853 89 
1707270587.700642 1707270587.6999328 90 
1707270587.775947 1707270587.775444 89 
1707270587.921586 1707270587.921029 89 
1707270588.120266 1707270588.1197262 90 
1707270588.170876 1707270588.170368 89 
1707270588.192025 1707270588.191635 89 
1707270588.258956 1707270588.258562 89 
1707270588.459167 1707270588.4586759 90 
1707270588.620534 1707270588.6200142 90 
1707270588.634759 1707270588.634442 89 
1707270588.680193 1707270588.679757 89 
1707270588.720302 1707270588.719868 89 
1707270588.765497 1707270588.7638881 90 
1707270588.828229 1707270588.827778 89 
1707270588.911421 1707270588.910941 89 
1707270588.988271 1707270588.987827 89 
1707270588.996198 1707270588.995939 89 
1707270589.120711 1707270589.120203 89 
1707270589.157495 1707270589.157042 89 
1707270589.198961 1707270589.198494 89 
1707270589.226733 1707270589.226378 89 
1707270589.236421 1707270589.236232 89 
1707270589.271665 1707270589.271366 89 
1707270589.405773 1707270589.405479 89 
1707270589.491451 1707270589.4910522 90 
1707270589.734982 1707270589.734615 89 
1707270589.990729 1707270589.9902232 90 
1707270590.207075 1707270590.2064571 90 
1707270590.231254 1707270590.230881 89 
1707270590.396215 1707270590.395984 89 
1707270590.462724 1707270590.462219 89 
1707270590.539335 1707270590.538868 89 
1707270590.579215 1707270590.578888 89 
1707270590.717578 1707270590.717231 89 
1707270590.907093 1707270590.906663 89 
1707270590.986792 1707270590.986363 89 
1707270591.019167 1707270591.018883 89 
1707270591.364366 1707270591.36383 88 
1707270591.364510 1707270591.364117 89 
1707270591.444413 1707270591.4364889 90 
1707270591.444644 1707270591.4443781 90 
1707270591.518791 1707270591.518278 89 
1707270591.533064 1707270591.5327628 90 
1707270591.640289 1707270591.639929 89 
1707270591.675348 1707270591.675118 89 
1707270591.693858 1707270591.693519 89 
1707270591.733369 1707270591.733109 89 
1707270591.749064 1707270591.748487 89 
1707270591.766720 1707270591.766449 89 
1707270591.831439 1707270591.831188 89 
1707270591.903508 1707270591.903073 89 
1707270591.955521 1707270591.954957 89 
1707270592.049335 1707270592.048773 89 
1707270592.049968 1707270592.049796 89 
1707270592.096223 1707270592.095864 89 
1707270592.282294 1707270592.281785 89 
1707270592.286583 1707270592.286432 89 
1707270592.323696 1707270592.323391 89 
1707270592.378912 1707270592.378458 89 
1707270592.440714 1707270592.440284 89 
1707270592.528860 1707270592.528456 89 
1707270592.548796 1707270592.548605 89 
1707270592.645060 1707270592.644591 89 
1707270592.751099 1707270592.750648 89 
1707270592.976715 1707270592.976174 89 
1707270593.047785 1707270593.047196 89 
1707270593.168570 1707270593.168075 89 
1707270593.233692 1707270593.23316 88 
1707270593.295181 1707270593.294822 89 
1707270593.365671 1707270593.365141 89 
1707270593.429289 1707270593.428859 89 
1707270593.477504 1707270593.4770539 90 
1707270593.661062 1707270593.660535 89 
1707270593.961208 1707270593.960646 89 
1707270593.976491 1707270593.976096 89 
1707270593.988265 1707270593.987958 89 
1707270594.049526 1707270594.0491369 90 
1707270594.223402 1707270594.222903 89 
1707270594.409106 1707270594.408643 89 
1707270594.444452 1707270594.444049 89 
1707270594.464563 1707270594.464305 89 
1707270594.580401 1707270594.580029 89 
1707270594.609317 1707270594.608845 89 
1707270594.659251 1707270594.658728 89 
1707270594.662561 1707270594.662226 89 
1707270594.778075 1707270594.777479 89 
1707270594.786774 1707270594.7865028 90 
1707270594.891908 1707270594.891367 89 
1707270594.909492 1707270594.909203 89 
1707270594.962340 1707270594.961868 89 
1707270595.036529 1707270595.0360372 90 
1707270595.147794 1707270595.1473632 90 
1707270595.215628 1707270595.215049 89 
1707270595.237061 1707270595.236724 89 
1707270595.268172 1707270595.26785 88 
1707270595.363183 1707270595.3626611 90 
1707270595.434335 1707270595.433781 89 
1707270595.459998 1707270595.459651 89 
1707270595.481549 1707270595.481364 89 
1707270595.521818 1707270595.521557 89 
1707270595.610045 1707270595.609683 89 
1707270595.619071 1707270595.618847 89 
1707270595.771758 1707270595.7713249 90 
1707270595.858858 1707270595.858449 89 
1707270595.898929 1707270595.898612 89 
1707270595.964356 1707270595.9639301 90 
1707270595.966271 1707270595.966014 89 
1707270596.080548 1707270596.080241 89 
1707270596.153713 1707270596.153253 89 
1707270596.171811 1707270596.171387 89 
1707270596.277669 1707270596.27738 88 
1707270596.447170 1707270596.446646 89 
1707270596.464335 1707270596.464001 89 
1707270596.722342 1707270596.701698 89 
1707270596.864174 1707270596.862991 89 
1707270597.007264 1707270597.006013 89 
1707270597.026589 1707270597.026239 89 
1707270597.042721 1707270597.042505 89 
1707270597.062234 1707270597.0618281 90 
1707270597.078332 1707270597.078206 89 
1707270597.115244 1707270597.114989 89 
1707270597.133720 1707270597.1334112 90 
1707270597.159547 1707270597.159282 89 
1707270597.189802 1707270597.1895099 90 
1707270597.251697 1707270597.251323 89 
1707270597.302569 1707270597.301996 89 
1707270597.536182 1707270597.5357308 90 
1707270597.566431 1707270597.566147 89 
1707270597.713191 1707270597.712859 89 
1707270597.831227 1707270597.830739 89 
1707270597.841106 1707270597.840231 89 
1707270597.960420 1707270597.959976 89 
1707270597.986620 1707270597.9862761 90 
1707270598.113818 1707270598.113503 89 
1707270598.137835 1707270598.13749 88 
1707270598.239022 1707270598.2385228 90 
1707270598.247283 1707270598.24702 88 
1707270598.301261 1707270598.300767 89 
1707270598.364531 1707270598.3640199 90 
1707270598.375749 1707270598.375456 89 
1707270598.426619 1707270598.426254 89 
1707270598.474932 1707270598.474418 89 
1707270598.491043 1707270598.4906921 90 
1707270598.656138 1707270598.6556532 90 
1707270598.683757 1707270598.683566 89 
1707270598.752615 1707270598.7521532 90 
1707270598.837891 1707270598.837567 89 
1707270598.890380 1707270598.890069 89 
1707270598.911884 1707270598.911605 89 
1707270599.018696 1707270599.018309 89 
1707270599.130274 1707270599.1298969 90 
1707270599.146783 1707270599.146488 89 
1707270599.166751 1707270599.1665778 90 
1707270599.247360 1707270599.246902 89 
1707270599.469916 1707270599.4693491 90 
1707270599.474412 1707270599.4741619 90 
1707270599.581286 1707270599.580707 89 
1707270599.601453 1707270599.60113 88 
1707270599.760872 1707270599.760484 89 
1707270599.886122 1707270599.885674 89 
1707270599.917465 1707270599.917127 89 
1707270599.938848 1707270599.938564 89 
1707270599.938920 1707270599.93871 88 
1707270600.146749 1707270600.1459641 90 
1707270600.200799 1707270600.200276 89 
1707270600.419957 1707270600.419389 89 
1707270600.430017 1707270600.42963 88 
1707270600.456794 1707270600.456473 89 
1707270600.489183 1707270600.4890082 90 
1707270600.512754 1707270600.5125701 90 
1707270600.600855 1707270600.600652 89 
1707270600.658498 1707270600.658137 89 
1707270600.717432 1707270600.717012 89 
1707270600.859596 1707270600.8591769 90 
1707270601.102370 1707270601.102189 89 
1707270601.178199 1707270601.1777658 90 
1707270601.244553 1707270601.244073 89 
1707270601.374427 1707270601.374002 89 
1707270601.376965 1707270601.3766809 90 
1707270601.392300 1707270601.3918452 90 
1707270601.440183 1707270601.439788 89 
1707270601.450827 1707270601.4505758 90 
1707270601.514485 1707270601.5140579 90 
1707270601.552329 1707270601.551957 89 
1707270601.565094 1707270601.56478 88 
1707270601.584324 1707270601.58419 88 
1707270601.592465 1707270601.5922618 90 
1707270601.642563 1707270601.642345 89 
1707270601.700615 1707270601.7002041 90 
1707270601.731901 1707270601.731568 89 
1707270601.837375 1707270601.8369741 90 
1707270602.031140 1707270602.0307178 90 
1707270602.088813 1707270602.088387 89 
1707270602.252207 1707270602.2519958 90 
1707270602.269765 1707270602.269438 89 
1707270602.341130 1707270602.340926 89 
1707270602.472764 1707270602.472395 89 
1707270602.491191 1707270602.4909341 90 
1707270602.571977 1707270602.571651 89 
1707270602.664129 1707270602.66362 88 
1707270602.804983 1707270602.804485 89 
1707270602.885544 1707270602.885032 89 
1707270603.010334 1707270603.009814 89 
1707270603.033151 1707270603.032823 89 
1707270603.389881 1707270603.3892689 90 
1707270603.460384 1707270603.459966 89 
1707270603.558272 1707270603.5578501 90 
1707270603.575579 1707270603.575257 89 
1707270603.614422 1707270603.614114 89 
1707270603.705254 1707270603.704826 89 
1707270603.708791 1707270603.7083678 90 
1707270603.721101 1707270603.720883 89 
1707270603.729646 1707270603.72947 88 
1707270603.766553 1707270603.766371 89 
1707270603.768648 1707270603.768515 89 
1707270603.781979 1707270603.7818198 90 
1707270603.824359 1707270603.82401 88 
1707270603.876225 1707270603.875863 89 
1707270604.018716 1707270604.018223 89 
1707270604.023606 1707270604.023374 89 
1707270604.027022 1707270604.026944 89 
1707270604.061681 1707270604.061478 89 
1707270604.066556 1707270604.066253 89 
1707270604.109261 1707270604.1090581 90 
1707270604.212176 1707270604.211689 89 
1707270604.220788 1707270604.220535 89 
1707270604.223804 1707270604.223719 89 
1707270604.364743 1707270604.364322 89 
1707270604.431206 1707270604.430758 89 
1707270604.547851 1707270604.547404 89 
1707270604.659525 1707270604.6590772 90 
1707270604.717558 1707270604.7171662 90 
1707270604.893153 1707270604.89278 88 
1707270604.917740 1707270604.917419 89 
1707270605.125868 1707270605.125313 89 
1707270605.147434 1707270605.147021 89 
1707270605.179974 1707270605.179761 89 
1707270605.180125 1707270605.179936 89 
1707270605.212291 1707270605.212132 89 
1707270605.257764 1707270605.257531 89 
1707270605.423335 1707270605.4229581 90 
1707270605.500684 1707270605.500258 89 
1707270605.567435 1707270605.567009 89 
1707270605.735416 1707270605.734883 89 
1707270605.794606 1707270605.794123 89 
1707270605.871523 1707270605.870996 89 
1707270605.926499 1707270605.926029 89 
1707270605.943933 1707270605.9436128 90 
1707270606.138200 1707270606.137866 89 
1707270606.143930 1707270606.1436841 90 
1707270606.165207 1707270606.1650171 90 
1707270606.165425 1707270606.165279 89 
1707270606.232062 1707270606.2316968 90 
1707270606.255352 1707270606.255018 89 
1707270606.347540 1707270606.346923 89 
1707270606.545708 1707270606.545198 89 
1707270606.692612 1707270606.692035 89 
1707270606.715288 1707270606.714981 89 
1707270606.918635 1707270606.9182599 90 
1707270606.956315 1707270606.955913 89 
1707270607.014367 1707270607.014064 89 
1707270607.223006 1707270607.222443 89 
1707270607.258365 1707270607.258128 89 
1707270607.340870 1707270607.3404438 90 
1707270607.452250 1707270607.4518468 90 
1707270607.481649 1707270607.481312 89 
1707270607.680862 1707270607.680334 89 
1707270607.735360 1707270607.734887 89 
1707270607.735461 1707270607.735295 89 
1707270607.881196 1707270607.880694 89 
1707270607.955151 1707270607.954655 89 
1707270608.040843 1707270608.040372 89 
1707270608.058874 1707270608.0585 87 
1707270608.127182 1707270608.126915 89 
1707270608.146526 1707270608.146353 89 
1707270608.150157 1707270608.149944 89 
1707270608.273057 1707270608.272665 89 
1707270608.281426 1707270608.2809951 90 
1707270608.358851 1707270608.358451 89 
1707270608.359751 1707270608.359512 89 
1707270608.707035 1707270608.7064729 90 
1707270608.847863 1707270608.847426 89 
1707270608.930815 1707270608.9303622 90 
1707270608.940068 1707270608.939749 89 
1707270609.009076 1707270609.008627 89 
1707270609.037159 1707270609.036986 89 
1707270609.072173 1707270609.071958 89 
1707270609.152808 1707270609.1524239 90 
1707270609.218256 1707270609.2177842 90 
1707270609.280984 1707270609.280431 89 
1707270609.399695 1707270609.399265 89 
1707270609.617819 1707270609.617562 89 
1707270609.715745 1707270609.71532 88 
1707270609.803551 1707270609.803175 89 
1707270609.922463 1707270609.922016 89 
1707270609.944178 1707270609.944004 89 
1707270609.982553 1707270609.982344 89 
1707270610.115005 1707270610.114806 89 
1707270610.124658 1707270610.124469 89 
1707270610.164183 1707270610.1639948 90 
1707270610.166357 1707270610.16622 88 
1707270610.183342 1707270610.183116 89 
1707270610.264349 1707270610.263884 89 
1707270610.323418 1707270610.322999 89 
1707270610.659173 1707270610.658644 89 
1707270610.791442 1707270610.790999 89 
1707270610.846279 1707270610.845713 89 
1707270610.953126 1707270610.952679 89 
1707270610.953094 1707270610.952605 89 
1707270611.202153 1707270611.201631 89 
1707270611.208139 1707270611.207835 89 
1707270611.299929 1707270611.299391 89 
1707270611.303767 1707270611.3035772 90 
1707270611.356562 1707270611.356214 89 
1707270611.397730 1707270611.397441 89 
1707270611.435493 1707270611.435057 89 
1707270611.476148 1707270611.475698 89 
1707270611.695306 1707270611.694763 89 
1707270611.712288 1707270611.711953 89 
1707270611.737426 1707270611.736984 89 
1707270611.771585 1707270611.7711842 90 
1707270611.830521 1707270611.8300679 90 
1707270611.863026 1707270611.8627279 90 
1707270611.865319 1707270611.865172 89 
1707270611.900632 1707270611.9004438 90 
1707270611.994504 1707270611.994178 89 
1707270612.148568 1707270612.148205 89 
1707270612.829983 1707270612.8295581 90 
1707270612.920112 1707270612.9195242 90 
1707270612.933647 1707270612.933368 89 
1707270612.975257 1707270612.9749498 90 
1707270613.034735 1707270613.034282 89 
1707270613.102810 1707270613.102429 89 
1707270613.136311 1707270613.1360488 90 
1707270613.137712 1707270613.137577 89 
1707270613.152957 1707270613.152744 89 
1707270613.193087 1707270613.192897 89 
1707270613.239722 1707270613.239403 89 
1707270613.285198 1707270613.284817 89 
1707270613.307038 1707270613.3068511 90 
1707270613.316013 1707270613.315858 89 
1707270613.412180 1707270613.411783 89 
1707270613.633703 1707270613.633485 89 
1707270613.688841 1707270613.6883898 90 
1707270613.739689 1707270613.7393699 90 
1707270613.774797 1707270613.7744262 90 
1707270613.778177 1707270613.777924 89 
1707270614.140105 1707270614.1398468 90 
1707270614.191996 1707270614.1916668 90 
1707270614.311847 1707270614.3113768 90 
1707270614.358569 1707270614.3579872 90 
1707270614.452711 1707270614.45227 88 
1707270614.473051 1707270614.472824 89 
1707270614.518589 1707270614.518275 89 
1707270614.529148 1707270614.528954 89 
1707270614.565560 1707270614.5612319 90 
1707270614.619443 1707270614.619213 89 
1707270614.638703 1707270614.638356 89 
1707270614.723745 1707270614.7234979 90 
1707270614.794772 1707270614.794006 89 
1707270614.869624 1707270614.8692858 90 
1707270614.895110 1707270614.8947241 90 
1707270615.068117 1707270615.067877 89 
1707270615.118915 1707270615.118641 89 
1707270615.222773 1707270615.222473 89 
1707270615.330373 1707270615.3301451 90 
1707270615.523005 1707270615.522489 89 
1707270615.618817 1707270615.618484 89 
1707270615.650669 1707270615.650354 89 
1707270615.677882 1707270615.6776729 90 
1707270615.812331 1707270615.8104908 90 
1707270615.846087 1707270615.845848 89 
1707270615.871969 1707270615.8702369 90 
1707270615.915778 1707270615.915484 89 
1707270616.050296 1707270616.050029 89 
1707270616.073252 1707270616.072983 89 
1707270616.085044 1707270616.084803 89 
1707270616.089590 1707270616.089428 89 
1707270616.144773 1707270616.1445189 90 
1707270616.156894 1707270616.156659 89 
1707270616.167844 1707270616.167558 89 
1707270616.203141 1707270616.202861 89 
1707270616.278368 1707270616.278046 89 
1707270616.359888 1707270616.359603 89 
1707270616.460647 1707270616.460201 89 
1707270616.470441 1707270616.470186 89 
1707270616.499317 1707270616.499082 89 
1707270616.589087 1707270616.588775 89 
1707270616.628662 1707270616.628412 89 
1707270616.701440 1707270616.701164 89 
1707270616.775882 1707270616.775594 89 
1707270616.791692 1707270616.791428 89 
1707270616.808703 1707270616.80839 88 
1707270616.825631 1707270616.8253598 90 
1707270616.834555 1707270616.8343391 90 
1707270616.849856 1707270616.849612 89 
1707270616.907348 1707270616.907074 89 
1707270617.019355 1707270617.019021 89 
1707270617.020722 1707270617.020632 89 
1707270617.036704 1707270617.036271 89 
1707270617.036852 1707270617.03652 88 
1707270617.070696 1707270617.070173 89 
1707270617.080910 1707270617.0805519 90 
1707270617.097781 1707270617.097485 89 
1707270617.146026 1707270617.145731 89 
1707270617.511376 1707270617.510984 89 
1707270617.559573 1707270617.55926 88 
1707270617.645922 1707270617.6451771 90 
1707270617.673516 1707270617.673026 89 
1707270617.852127 1707270617.851611 89 
1707270618.076447 1707270618.075938 89 
1707270618.090893 1707270618.090483 89 
1707270618.217222 1707270618.216624 89 
1707270618.314639 1707270618.3141901 90 
1707270618.506274 1707270618.505737 89 
1707270618.525367 1707270618.524993 89 
1707270618.545465 1707270618.545152 89 
1707270618.657720 1707270618.6572192 90 
1707270618.743457 1707270618.7429938 90 
1707270618.762584 1707270618.761927 89 
1707270618.822452 1707270618.821972 89 
1707270618.883407 1707270618.883041 89 
1707270618.968716 1707270618.96828 88 
1707270618.991874 1707270618.991436 89 
1707270619.008137 1707270619.007686 89 
1707270619.058249 1707270619.05476 88 
1707270619.124927 1707270619.124546 89 
1707270619.186313 1707270619.185808 89 
1707270619.427956 1707270619.4274812 90 
1707270619.597734 1707270619.5974882 90 
1707270619.611024 1707270619.6106722 90 
1707270619.640030 1707270619.639688 89 
1707270619.650242 1707270619.649909 89 
1707270619.729844 1707270619.72942 88 
1707270619.783264 1707270619.782721 89 
1707270619.804100 1707270619.803635 89 
1707270619.830090 1707270619.829746 89 
1707270619.830642 1707270619.8305259 90 
1707270619.923628 1707270619.923124 89 
1707270619.964494 1707270619.963895 89 
1707270619.994036 1707270619.993767 89 
1707270620.016652 1707270620.016209 89 
1707270620.050073 1707270620.049671 89 
1707270620.145603 1707270620.145181 89 
1707270620.189425 1707270620.188938 89 
1707270620.202869 1707270620.202498 89 
1707270620.234676 1707270620.234151 89 
1707270620.269295 1707270620.2687612 90 
1707270620.270902 1707270620.2706969 90 
1707270620.275433 1707270620.275129 89 
1707270620.276661 1707270620.27642 88 
1707270620.360037 1707270620.359745 89 
1707270620.408792 1707270620.4083798 90 
1707270620.528651 1707270620.528179 89 
1707270620.590375 1707270620.589932 89 
1707270620.802971 1707270620.802634 89 
1707270620.823283 1707270620.823037 89 
1707270620.871156 1707270620.870934 89 
1707270620.983767 1707270620.983357 89 
1707270621.014602 1707270621.014202 89 
1707270621.070264 1707270621.0694778 90 
1707270621.134662 1707270621.133908 89 
1707270621.284467 1707270621.28401 88 
1707270621.328800 1707270621.328396 89 
1707270621.452004 1707270621.4515939 90 
1707270621.607211 1707270621.606723 89 
1707270621.733044 1707270621.731991 89 
1707270621.808684 1707270621.808439 89 
1707270621.942381 1707270621.942019 89 
1707270622.033095 1707270622.0324008 90 
1707270622.038612 1707270622.038404 89 
1707270622.106862 1707270622.106633 89 
1707270622.189985 1707270622.1895611 90 
1707270622.219537 1707270622.219187 89 
1707270622.295359 1707270622.2949739 90 
1707270622.480250 1707270622.480027 89 
1707270622.617040 1707270622.616677 89 
1707270622.638031 1707270622.6377249 90 
1707270622.639872 1707270622.639464 89 
1707270622.778496 1707270622.778006 89 
1707270622.818899 1707270622.818623 89 
1707270622.902464 1707270622.901979 89 
1707270622.909559 1707270622.909346 89 
1707270622.982923 1707270622.9826539 90 
1707270622.987102 1707270622.986874 89 
1707270623.166132 1707270623.165699 89 
1707270623.194166 1707270623.1937659 90 
1707270623.252108 1707270623.2516742 90 
1707270623.289668 1707270623.2892249 90 
1707270623.316519 1707270623.31617 88 
1707270623.361725 1707270623.361378 89 
1707270623.370372 1707270623.369994 89 
1707270623.418974 1707270623.41854 88 
1707270623.513107 1707270623.5126479 90 
1707270623.533371 1707270623.5329332 90 
1707270623.588626 1707270623.58813 88 
1707270623.727806 1707270623.7272651 90 
1707270623.771231 1707270623.7707431 90 
1707270623.843105 1707270623.842591 89 
1707270623.861944 1707270623.8614342 90 
1707270623.954993 1707270623.954518 89 
1707270624.072080 1707270624.0715961 90 
1707270624.093182 1707270624.0927281 90 
1707270624.115902 1707270624.115422 89 
1707270624.166093 1707270624.165601 89 
1707270624.202914 1707270624.2024488 90 
1707270624.203579 1707270624.203371 89 
1707270624.295457 1707270624.294934 89 
1707270624.407180 1707270624.4067972 90 
1707270624.430500 1707270624.430206 89 
1707270624.524403 1707270624.523896 89 
1707270624.548093 1707270624.547709 89 
1707270624.564680 1707270624.564257 89 
1707270624.589072 1707270624.5886521 90 
1707270624.612958 1707270624.612134 89 
1707270624.711407 1707270624.710976 89 
1707270624.894612 1707270624.894152 89 
1707270625.046379 1707270625.046133 89 
1707270625.165361 1707270625.165052 89 
1707270625.208742 1707270625.2083 87 
1707270625.446508 1707270625.446018 89 
1707270625.512532 1707270625.512068 89 
1707270625.529493 1707270625.5290618 90 
1707270625.529686 1707270625.529522 89 
1707270625.548581 1707270625.548078 89 
1707270625.632379 1707270625.631916 89 
1707270625.657935 1707270625.657475 89 
1707270625.763703 1707270625.76334 88 
1707270625.938477 1707270625.9379709 90 
1707270626.086082 1707270626.085669 89 
1707270626.102815 1707270626.102367 89 
1707270626.123886 1707270626.1229372 90 
1707270626.240276 1707270626.239771 89 
1707270626.281503 1707270626.281195 89 
1707270626.312053 1707270626.310465 89 
1707270626.337005 1707270626.336566 89 
1707270626.440476 1707270626.440201 89 
1707270626.514642 1707270626.514307 89 
1707270626.625770 1707270626.62548 88 
1707270626.642712 1707270626.642093 89 
1707270626.791591 1707270626.791213 89 
1707270626.823867 1707270626.823494 89 
1707270627.017470 1707270627.016905 89 
